Player,Map,Category,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,Score,Perfects,Medals,TeamOutcome,TeamScore,LengthSeconds,TeamGameScore
xThEdReAmMaKerX,Live Fire - Ranked,Oddball,Win,57.69,7321,12284,286,165,121,0.76,-3.66,26,34,13,0,0,4165,4,10,Win,19525,1347,2
DoNotDefyMe,Live Fire - Ranked,Oddball,Win,58.81,12621,10832,454,267,187,1.29,14.33,45,35,13,0,0,6425,4,43,Win,19525,1347,2
S0S OhKay,Live Fire - Ranked,Oddball,Win,60.69,11610,12076,463,281,182,0.73,-3.33,27,37,20,0,0,4285,5,9,Win,19525,1347,2
Patotally,Live Fire - Ranked,Oddball,Loss,57.3,13387,11587,466,267,199,1.27,15.33,38,30,22,0,0,5365,1,14,Loss,19360,1347,1
ShadowKillxr,Live Fire - Ranked,Oddball,Loss,64.3,15312,10514,563,362,201,1.71,25.0,48,28,15,0,0,5680,9,25,Loss,19360,1347,1
AThaiKiwi,Live Fire - Ranked,Oddball,Loss,55.14,9412,10902,321,177,144,0.92,2.0,33,36,15,0,0,4685,0,19,Loss,19360,1347,1
J7 ZeR,Live Fire - Ranked,Oddball,Loss,45.61,7750,11512,353,161,192,0.5,-13.33,19,38,17,0,0,3630,1,8,Loss,19360,1347,1

Patotally,Empyrean - Ranked,CTF 3 Captures,Draw,54.87,11199,9293,390,214,176,1.52,16.66,38,25,11,0,0,5085,0,16,Draw,14210,1083,2
ShadowKillxr,Empyrean - Ranked,CTF 3 Captures,Draw,58.78,11151,8858,410,241,169,1.3,12.66,30,23,17,0,0,3850,2,16,Draw,14210,1083,2
J7 ZeR,Empyrean - Ranked,CTF 3 Captures,Draw,43.41,5758,8917,311,135,176,0.52,-11.0,15,29,9,0,0,2075,0,2,Draw,14210,1083,2
AThaiKiwi,Empyrean - Ranked,CTF 3 Captures,Draw,53.64,7743,10006,302,162,140,0.59,-7.66,20,34,19,0,0,3200,1,6,Draw,14210,1083,2
DoNotDefyMe,Empyrean - Ranked,CTF 3 Captures,Draw,62.21,11458,9346,389,242,147,1.56,20.33,42,27,16,0,0,5545,6,47,Draw,15135,1083,2
xThEdReAmMaKerX,Empyrean - Ranked,CTF 3 Captures,Draw,52.59,8239,8885,405,213,192,0.75,1.0,15,20,18,1,0,2360,0,5,Draw,15135,1083,2
S0S OhKay,Empyrean - Ranked,CTF 3 Captures,Draw,55.06,8804,8850,336,185,151,0.81,-1.66,25,31,13,0,0,3160,4,15,Draw,15135,1083,2
Spartarn Spy,Empyrean - Ranked,CTF 3 Captures,Draw,55.24,8445,9296,353,195,158,1.12,7.33,29,26,13,0,0,4070,5,17,Draw,15135,1083,2

Patotally,Empyrean - Ranked,CTF 3 Captures,Draw,54.88,11490,9157,410,225,185,1.81,24.66,47,26,11,0,0,5360,2,29,Draw,13690,1087,0
ShadowKillxr,Empyrean - Ranked,CTF 3 Captures,Draw,63.41,10605,9338,369,234,135,1.17,9.33,28,24,16,0,0,3685,2,12,Draw,13690,1087,0
AThaiKiwi,Empyrean - Ranked,CTF 3 Captures,Draw,51.19,7885,8949,295,151,144,0.79,-3.33,22,28,8,1,0,2545,2,7,Draw,13690,1087,0
J7 ZeR,Empyrean - Ranked,CTF 3 Captures,Draw,47.6,6026,9339,271,129,142,0.31,-17.66,11,35,19,0,0,2100,0,3,Draw,13690,1087,0
S0S OhKay,Empyrean - Ranked,CTF 3 Captures,Draw,55.07,9235,8759,345,190,155,1.0,5.33,28,28,16,0,0,3650,1,14,Draw,14980,1087,0
DoNotDefyMe,Empyrean - Ranked,CTF 3 Captures,Draw,62.12,11230,10065,433,269,164,0.97,5.0,33,34,18,0,0,4405,1,25,Draw,14980,1087,0
Spartarn Spy,Empyrean - Ranked,CTF 3 Captures,Draw,48.58,7769,8103,317,154,163,1.19,8.66,25,21,14,0,0,3325,1,17,Draw,14980,1087,0
xThEdReAmMaKerX,Empyrean - Ranked,CTF 3 Captures,Draw,54.76,7761,9331,336,184,152,1.04,7.66,26,25,20,0,0,3600,0,11,Draw,14980,1087,0

Patotally,Streets - Ranked,Slayer,Win,47.0,4390,4446,217,102,115,0.83,1.0,10,12,9,0,0,1500,0,5,Win,6460,554,50
